Elevation,Aspect,Slope,Horiz_dist_hydro,Vertical_dist_hydro,Horiz_dist_roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horiz_dist_firepoints,Cover_Type,Wilderness_Area,Soil_Type
3330,259,6,67,8,3714,206,244,176,1848,7,3,38
2337,125,26,67,32,875,252,211,69,810,3,4,3
2978,330,9,134,13,4127,198,229,170,2148,2,1,30
2978,12,21,150,40,2440,193,192,130,1811,1,3,33
3150,45,7,60,0,2040,222,225,138,582,1,1,23
3021,118,19,30,3,6505,249,220,92,3288,2,1,30
3208,202,17,552,98,1020,210,253,173,2850,1,3,32
2781,5,9,309,47,1523,209,223,152,2466,2,1,12
2880,86,10,379,92,1440,235,223,119,1558,2,3,11
2994,340,17,382,24,228,181,213,169,918,1,3,19
3253,40,8,446,55,1050,221,223,137,1556,1,2,24
2678,109,11,330,94,1782,239,228,119,2577,6,3,2
3446,286,15,648,107,1705,175,238,202,661,7,3,39
2724,80,7,242,40,1441,229,228,133,3788,2,1,12
2713,168,6,120,4,1816,225,242,152,4161,2,1,23
2810,49,5,0,0,2259,222,229,142,2826,1,1,23
3250,82,29,242,7,2222,245,177,42,4417,1,2,33
3447,100,21,400,209,3801,249,207,76,3462,7,3,39
3351,60,14,95,11,2928,230,209,108,2097,7,1,38
2828,328,20,283,62,1765,167,212,183,1524,6,3,13
3047,50,16,499,131,4573,225,204,108,3755,1,1,29
3178,333,12,324,60,3277,192,225,171,2535,1,3,31
3182,273,13,430,78,5855,184,243,199,2800,2,1,30
2978,279,11,825,332,1500,188,241,193,2118,2,3,31
2910,129,12,134,11,931,240,233,121,2866,1,1,22
2847,49,10,0,0,5378,224,218,126,607,2,1,23
3250,183,16,218,74,3426,222,249,155,3018,1,1,22
2935,135,11,60,7,1856,237,236,128,2585,2,3,32
2445,4,14,242,62,726,201,212,148,726,3,4,2
3027,342,12,124,25,450,194,221,165,1776,1,3,22
2962,74,12,192,-5,541,235,216,111,2165,2,1,29
2580,14,6,124,20,1230,215,228,150,4942,2,1,12
2833,39,17,210,47,3573,218,199,111,2801,2,1,29
3120,186,24,85,23,2824,216,248,153,1231,2,3,23
3201,123,16,319,26,3544,245,227,106,4429,1,1,39
2536,133,8,180,-6,499,233,236,135,1110,2,1,9
3121,334,12,834,350,1230,192,224,171,1224,1,3,31
2950,346,16,638,80,2873,187,213,163,1739,2,1,12
2795,37,9,457,-5,1765,220,219,134,2635,2,1,12
2785,320,24,242,90,1054,151,210,195,360,2,3,33
3217,6,9,60,0,1905,210,223,151,1756,2,2,23
3010,96,29,351,-63,589,251,184,40,1618,2,1,29
2688,115,14,234,42,2281,244,225,107,2162,6,3,10
2800,145,14,180,47,3189,239,237,125,2925,2,1,12
3231,301,27,466,137,408,134,216,217,1008,1,2,22
3429,298,14,618,137,2657,181,235,193,1385,1,3,38
3122,245,27,693,31,4054,156,249,222,1087,2,3,33
2711,68,14,499,98,659,233,212,108,2708,2,1,29
2697,66,10,60,-2,1510,230,219,121,2273,2,3,11
3249,267,23,390,143,335,154,242,223,750,1,2,22
3212,260,8,700,151,6181,200,245,183,1570,2,1,29
2683,56,9,335,1,1608,226,222,130,5871,2,1,29
3135,63,1,210,0,3871,220,236,153,1361,1,1,29
2751,31,6,0,0,2382,219,228,145,3928,2,1,23
2867,139,13,108,20,3948,239,236,124,6130,2,1,30
2618,11,15,95,11,819,202,208,140,1654,2,3,33
2935,48,14,495,142,1179,224,208,115,2704,2,3,32
2044,125,37,339,141,339,251,186,26,871,3,4,3
3017,101,8,277,50,4837,235,229,126,1610,1,1,29
2920,15,8,42,4,1620,213,223,147,1745,2,1,29
3145,326,7,192,50,4476,203,232,168,1273,1,1,29
2850,359,15,390,116,2546,197,212,151,781,2,3,24
3107,232,3,95,3,1531,215,242,164,2188,1,3,23
3169,98,24,309,101,1800,251,198,60,2713,2,1,29
3167,122,23,319,81,3405,252,214,77,421,1,3,39
3188,50,4,360,27,1184,222,231,145,1922,1,2,23
3355,249,4,258,21,964,211,242,170,2044,7,3,32
2959,150,9,277,43,5159,233,240,138,4423,2,1,30
2658,30,24,30,10,1381,204,180,101,1200,2,3,33
3223,0,4,351,21,2440,214,232,156,1493,1,3,23
2714,27,11,175,25,1470,216,216,136,663,2,1,12
2831,239,20,60,-5,1855,179,252,207,1154,2,3,13
3041,19,12,384,66,5418,211,214,138,3799,1,1,29
3151,262,7,443,77,1019,204,244,179,2839,1,3,33
3102,39,12,30,4,3811,220,213,126,990,1,1,30
3073,45,3,228,42,1351,220,233,150,2711,2,1,29
3018,8,16,330,66,4173,200,206,141,2110,2,1,24
2812,30,18,124,26,3640,212,199,118,2910,2,1,29
3329,164,17,569,180,1595,233,243,134,1442,1,2,33
2879,333,5,30,2,3768,208,233,164,3726,2,1,23
3235,134,17,324,44,5622,244,230,109,2995,2,1,29
2951,288,13,150,22,5791,184,238,194,1449,2,1,29
3332,210,20,339,100,3365,201,254,182,513,1,3,31
3023,276,7,268,-11,1871,200,242,181,1710,2,3,31
2971,54,8,579,-4,5370,225,222,130,1677,2,1,29
2665,140,17,391,65,997,243,233,113,2549,2,1,12
2747,329,1,424,23,1107,215,237,159,1811,2,3,11
3067,215,18,430,278,2659,200,254,185,1589,1,3,13
3240,224,24,424,73,2856,181,254,201,824,2,3,32
3144,326,7,30,1,752,203,232,168,1201,1,2,23
3018,207,3,1057,99,5622,217,242,161,5766,2,1,29
3173,15,11,256,28,1549,210,216,142,890,1,2,32
3079,260,7,437,9,2640,203,244,179,2011,1,3,32
3215,347,18,362,75,3751,182,207,162,1989,1,3,31
3065,336,5,216,37,3961,209,233,162,2208,2,1,29
3088,43,8,633,89,2707,222,223,136,1982,2,3,32
2735,13,40,446,269,768,151,129,89,1282,2,3,13
3299,119,13,150,30,1203,242,228,113,1249,1,3,31
2738,39,12,120,-12,1298,220,213,126,1415,2,1,23
2730,52,23,150,44,1207,225,184,81,2131,2,1,29
2565,84,5,335,20,1243,227,231,139,1368,5,3,2
3304,59,6,108,15,4596,224,228,139,644,1,1,29
2962,287,19,256,72,2871,163,235,211,2183,2,1,29
3201,143,9,150,41,1595,233,238,136,1638,1,2,23
2853,316,18,180,46,1543,171,222,191,2674,2,3,33
3103,331,22,85,28,4203,162,206,181,876,1,1,22
3015,157,12,67,1,618,233,242,137,1771,2,1,29
3344,308,8,300,43,1661,197,235,178,1812,1,3,32
3297,349,4,330,32,5732,213,233,158,582,1,1,22
2877,72,4,0,0,3127,224,232,144,1233,2,3,13
2995,82,9,85,6,2785,233,225,124,828,1,1,29
2994,78,15,30,6,285,238,211,99,1341,2,3,32
3355,336,28,150,56,3446,146,189,175,2334,7,3,24
3152,63,6,42,0,4109,226,227,135,3386,1,3,22
2806,198,4,532,41,1994,218,243,161,1922,5,3,17
3258,32,14,153,55,5028,216,210,126,67,1,1,38
2799,57,22,42,16,1233,229,189,82,2215,2,3,20
3019,51,12,201,29,2974,226,214,120,1783,1,3,23
2959,17,11,532,62,4163,211,216,141,5566,2,1,12
2920,115,16,192,52,1470,245,223,102,2133,2,3,31
2962,231,33,904,192,4156,149,247,218,1356,2,3,33
3282,74,4,201,14,1200,225,231,142,2112,1,1,38
3014,52,13,450,69,1739,226,211,116,3212,2,3,33
2589,163,19,402,129,2279,234,242,130,342,3,3,4
2819,62,18,283,149,306,232,199,92,1703,5,1,29
2762,107,11,30,5,3000,238,227,119,4928,2,1,20
2448,353,20,67,20,633,182,201,154,1234,6,4,10
2848,167,14,277,19,750,231,244,141,469,5,1,30
3242,45,3,484,63,4410,220,233,150,2728,1,1,22
3167,97,11,474,34,5544,239,224,114,1643,1,1,29
3011,50,14,60,13,6287,226,208,113,3531,2,1,24
2646,109,26,190,46,1099,253,200,57,2334,2,1,30
3090,293,14,42,3,3731,180,236,196,1127,1,3,22
3147,74,7,391,38,4260,229,227,132,1967,2,1,29
2947,68,39,216,140,1351,227,135,4,1053,2,3,33
3071,183,15,170,18,2012,223,249,154,30,1,3,31
3047,293,10,641,56,5839,191,238,187,5208,1,1,29
2939,150,18,277,0,5766,240,237,120,3545,2,1,30
2936,221,5,277,90,2032,213,245,169,1127,2,3,34
2340,133,8,67,13,1296,233,236,135,201,3,4,6
2542,148,11,150,-10,1198,234,239,135,1436,3,3,4
3122,301,26,108,9,2136,140,219,214,3180,1,1,29
3038,351,10,60,13,1828,202,223,159,1370,1,3,21
2834,26,13,457,58,2362,213,211,131,2249,2,1,23
3307,71,13,67,12,2952,234,214,110,2374,1,1,39
3378,105,11,255,0,2424,240,226,115,2554,7,1,38
2298,327,16,256,88,849,179,220,180,789,3,4,6
2142,7,17,255,21,458,198,205,142,765,3,4,10
2918,44,13,390,67,2876,222,211,121,2516,2,1,12
3031,56,3,0,0,3586,222,232,146,272,1,1,23
2588,40,19,150,45,1602,218,196,106,1381,2,3,10
3037,10,25,162,52,2460,185,182,126,1134,1,3,22
2930,293,6,150,23,3552,203,239,175,4814,2,1,12
2683,9,11,30,3,2301,207,217,146,4646,2,1,20
3081,189,11,67,5,979,220,249,161,1630,2,1,29
2970,39,13,649,236,3258,220,212,124,1398,2,1,12
3317,135,15,182,21,3994,242,232,115,2367,7,1,38
3302,168,17,474,23,4079,231,244,139,2040,1,3,38
3064,86,18,67,20,4260,243,206,85,2796,1,1,29
2602,22,5,0,0,1276,217,229,149,2448,2,1,16
2956,46,24,335,132,4457,219,182,85,964,2,1,29
2403,153,8,579,60,666,231,241,142,967,3,4,3
3207,230,16,433,0,702,194,253,194,2101,2,3,33
3433,355,10,571,94,1585,203,222,157,1392,7,3,38
3132,351,6,85,0,1482,210,230,159,1154,1,2,23
3193,206,7,182,26,1006,216,247,166,127,1,3,23
2545,73,7,85,6,2638,229,226,131,2489,2,3,20
2722,79,8,175,49,180,231,225,126,1976,5,1,29
2712,38,8,228,36,1342,220,223,138,3055,2,1,30
3050,237,16,120,13,2249,191,252,196,446,2,3,32
2900,180,3,300,-2,4725,220,241,156,4880,2,1,8
3027,12,21,488,-32,1113,193,191,129,2028,2,3,33
2806,186,23,60,8,3912,217,249,154,1290,2,1,30
3118,327,5,553,-67,997,208,234,165,1110,2,2,23
2957,106,23,895,162,2716,252,204,67,1608,2,3,10
2688,217,24,270,54,3178,187,254,193,1616,3,3,4
2364,26,17,335,220,1008,210,200,122,1328,3,4,10
3394,165,7,805,188,1243,227,243,149,1980,1,3,38
3000,331,21,467,226,760,167,209,180,1321,1,3,33
3248,174,17,402,77,3873,228,246,144,735,1,3,33
2962,349,12,277,26,4298,198,220,161,5013,2,1,12
2629,77,9,467,14,3038,232,224,125,2914,1,3,11
2914,54,10,120,1,3466,226,218,124,4147,2,1,12
3204,63,10,774,183,2561,229,221,124,3132,1,3,31
2948,114,3,60,7,1855,224,236,147,469,2,3,32
3123,52,13,726,253,2147,226,211,115,2737,1,3,24
3320,348,15,1321,303,1936,192,215,161,1888,7,3,38
2960,104,20,108,29,3792,249,210,80,1142,2,1,29
3285,89,16,134,15,3415,242,213,97,1326,1,3,22
2608,139,9,319,-13,1756,234,237,134,1958,3,3,2
3265,14,9,30,3,4014,212,222,147,1804,1,1,38
3069,92,16,485,-14,5071,243,214,96,1448,1,1,29
2390,271,24,426,181,350,149,239,225,794,3,4,10
3144,85,5,0,0,2477,228,231,137,2832,1,1,23
3104,295,17,180,44,1410,169,233,203,2449,2,3,32
3004,291,6,685,95,5975,203,239,175,3436,2,1,29
3099,81,6,150,2,3896,228,230,136,1765,2,1,29
2789,98,7,42,0,1635,232,230,130,1618,2,1,23
2784,24,14,0,0,4360,212,209,132,5110,2,1,30
3260,74,11,277,31,5573,233,219,116,1072,2,1,29
3095,173,10,285,2,3613,226,245,150,967,1,1,29
2749,22,11,297,58,2866,213,216,138,1253,5,3,32
2593,184,14,90,16,1585,223,249,156,816,3,3,3
3262,288,26,960,175,3655,138,227,224,2312,1,3,27
2909,325,25,150,72,5504,151,205,190,4817,2,1,24
2959,84,13,150,33,4981,238,218,108,6281,2,1,12
2972,11,12,258,44,3019,207,215,144,942,2,3,33
3034,72,9,150,14,1380,231,222,123,1099,2,3,23
3096,110,16,234,-13,1154,246,220,97,1032,1,1,29
2211,7,33,108,76,1200,162,157,117,1478,3,4,10
3350,184,12,313,71,3794,222,248,157,1758,1,3,38
3046,332,21,85,9,902,168,209,178,2024,1,1,29
2916,4,12,467,36,4444,204,218,150,5531,1,1,29
3022,23,14,85,7,2985,212,210,133,649,1,1,29
3277,179,10,451,101,3420,224,246,154,2850,1,1,23
3245,173,13,190,13,4540,228,246,148,2520,1,3,33
3154,294,8,256,0,3502,199,238,179,1282,1,1,29
3137,51,15,67,5,1384,226,206,109,2526,1,3,22
2886,105,11,60,0,4272,240,226,115,3215,1,1,29
3277,29,14,108,7,3353,214,208,127,2755,7,3,39
3512,40,18,845,297,2514,219,198,109,1734,1,1,40
2823,103,9,153,21,990,235,229,125,2063,2,1,29
2340,99,21,404,159,1116,249,206,75,1262,4,4,6
3115,86,28,390,182,1849,247,180,43,2960,1,3,33
3262,183,20,616,147,6067,221,249,152,3031,2,1,30
2660,74,7,30,0,1615,229,227,132,5365,2,1,29
3050,11,15,42,6,3694,203,207,139,2746,1,1,23
3018,243,13,741,122,5860,194,250,193,6494,2,1,12
2719,254,31,120,73,1041,135,242,234,1448,2,3,13
3006,344,16,170,21,2529,187,214,165,2139,1,3,24
2514,119,18,175,64,644,248,222,95,323,2,4,6
2961,325,8,0,0,3674,201,232,170,2516,1,1,23
3305,181,17,272,46,3191,224,248,151,1316,1,3,32
2973,52,6,0,0,4876,223,227,140,1195,2,1,20
2480,174,27,212,76,1187,223,241,132,1182,3,3,4
2999,200,12,0,0,2589,215,250,168,1756,1,3,20
2739,191,21,313,3,1116,214,251,160,726,2,3,3
2942,266,22,391,121,1113,158,243,221,242,2,3,13
2567,81,9,120,13,760,233,224,123,720,2,1,23
3284,283,16,531,101,659,173,239,205,323,1,2,33
3293,28,24,216,73,2117,203,180,102,1226,7,3,39
2442,154,26,175,63,201,240,230,102,918,3,3,4
3242,301,12,268,18,4260,186,235,189,558,1,3,32
3048,99,13,256,41,3072,241,221,108,1939,2,3,31
2894,333,2,120,3,1784,214,236,160,1473,5,3,32
2743,55,6,134,14,2789,224,227,139,4986,2,1,12
3090,82,7,30,-2,7082,230,228,132,2537,2,1,20
3018,243,6,860,99,5974,207,245,176,3373,2,1,20
2536,119,11,242,29,295,239,230,120,1148,2,1,12
3231,55,9,335,48,5704,226,221,128,2160,1,1,29
2598,18,18,212,25,1182,202,198,128,2580,2,3,11
3222,53,21,571,162,1783,227,191,89,2037,1,3,33
2995,63,13,124,23,5110,231,214,113,4098,2,1,29
2732,86,32,182,101,2790,246,169,27,6510,2,1,30
2576,32,12,330,55,150,217,214,130,751,2,4,6
3204,45,2,457,5,2067,219,235,152,997,1,3,31
3189,266,10,150,-26,3556,194,245,189,1661,1,1,22
3018,354,17,541,43,4133,191,209,155,2263,2,1,29
2902,130,21,247,101,256,249,223,92,1142,2,1,30
3317,306,19,90,35,2372,164,225,200,2789,1,1,29
2992,297,5,90,20,752,205,238,172,1298,1,2,23
2706,41,5,182,7,85,221,228,143,768,5,3,11
3017,210,16,124,-10,2047,205,253,179,313,2,3,32
2721,116,26,67,29,1224,253,206,63,2160,2,1,29
2338,330,15,127,43,1224,182,220,177,371,6,4,5
3075,315,6,283,44,3240,205,235,170,1233,2,3,32
2579,73,16,127,24,850,237,207,96,1239,2,3,11
2787,313,20,95,32,3800,162,220,196,1062,2,1,29
2974,8,12,285,34,1484,206,216,147,721,1,3,32
3306,122,15,481,110,323,244,227,109,430,2,2,32
3126,120,10,212,18,5477,238,232,124,911,2,1,29
2902,148,14,272,64,866,238,238,126,2121,2,3,33
2863,221,19,255,119,2863,193,254,192,1182,2,3,4
2745,57,10,134,32,631,227,220,126,2264,2,3,11
2188,311,31,42,25,698,121,200,211,1572,3,4,10
3404,332,19,108,21,1677,173,213,177,1922,7,2,39
3209,136,14,272,60,1323,241,234,119,1765,1,2,23
3038,304,17,108,13,2418,170,229,198,3048,1,1,22
3208,70,15,85,3,2998,235,209,101,4939,1,1,29
2975,239,10,450,66,5883,202,249,184,3042,2,1,29
3074,98,16,134,14,2230,244,216,97,1291,1,1,30
2960,312,41,247,117,1645,82,174,214,1104,1,3,33
3002,72,5,256,25,1382,226,230,138,1622,1,3,31
2601,11,16,390,74,626,202,206,139,573,2,3,4
2353,156,29,319,10,446,238,228,98,722,3,4,3
3119,264,6,67,1,5584,204,243,178,2770,2,1,19
3178,144,6,30,-1,2816,230,239,143,2559,7,1,29
3179,41,10,466,88,3004,221,218,131,1719,1,3,31
3206,216,18,0,0,858,199,254,186,2102,1,2,23
2481,221,33,120,55,1879,162,249,205,242,3,3,4
3047,348,10,297,6,4025,201,223,161,3610,1,1,29
2991,58,16,433,24,1033,230,203,101,2180,2,1,29
2786,60,9,437,2,1776,227,221,127,983,2,1,12
3040,233,2,240,18,2188,215,241,163,1237,2,1,29
2868,344,15,0,0,5502,189,216,164,850,2,1,20
3090,307,18,582,179,5286,166,226,199,800,2,1,29
2933,36,11,30,3,1936,219,216,131,2389,1,3,32
2995,312,11,150,5,319,189,232,183,242,1,2,22
2900,82,18,433,129,598,241,207,89,1366,2,1,29
3137,315,22,443,128,750,157,216,197,1842,1,3,24
3015,88,14,218,46,2128,241,215,101,2402,1,3,32
2869,41,5,42,0,1397,220,229,145,2187,2,1,29
2612,45,7,85,-1,759,222,224,137,1673,2,1,29
2886,152,4,424,66,2287,224,239,151,2687,2,1,29
2975,129,10,127,10,4924,237,234,127,5792,2,1,12
2873,327,18,127,31,3264,174,217,182,2471,2,1,29
3254,0,8,579,63,3639,209,226,155,2467,1,1,40
3253,246,13,537,118,457,193,249,194,2349,2,3,33
2704,63,23,85,47,95,233,186,73,999,5,1,30
2985,94,18,547,180,547,246,209,85,1541,2,1,29
2983,40,13,30,0,4860,221,212,124,3245,2,1,29
2910,105,13,258,46,3210,242,223,109,2429,2,1,12
3172,192,19,509,108,1950,215,251,163,953,2,1,29
2968,247,16,216,47,5857,185,250,202,1369,2,1,29
2739,56,19,150,45,1376,229,197,95,1008,2,3,33
2990,155,10,552,71,3565,231,241,141,1074,2,1,12
3173,311,15,190,30,4683,179,228,189,1124,1,1,22
2665,111,16,153,62,1591,246,221,98,1221,3,3,11
3062,280,11,270,-6,2039,191,241,190,2259,2,3,32
2854,328,13,309,5,3000,188,224,175,2813,2,1,12
2771,34,20,153,113,162,213,193,108,1282,5,1,30
3167,81,7,417,86,1385,230,227,129,3435,1,3,33
3055,85,13,331,22,4582,238,217,108,789,2,1,30
2801,340,10,201,50,1798,198,225,166,3139,1,1,30
3188,45,15,124,13,3349,223,206,114,4698,1,1,29
2901,34,13,228,12,1521,218,212,128,2203,2,3,11
3393,349,11,853,122,1301,199,221,160,1716,7,3,38
3280,340,13,180,24,5568,192,221,167,664,1,1,38
2375,276,26,134,41,212,142,235,228,218,6,3,10
2640,0,8,0,0,859,208,225,154,1587,2,1,20
2784,168,21,85,19,2667,231,243,132,2366,2,1,30
2729,22,17,309,42,3401,207,201,126,2979,1,3,10
2935,140,15,808,144,2448,241,234,119,1543,2,3,13
3216,54,15,30,-4,4025,228,207,110,1772,1,1,38
3070,123,5,0,0,1561,228,236,142,437,1,1,23
3112,315,10,108,10,4163,193,232,178,1275,1,1,29
3195,12,10,335,23,4469,210,219,146,1591,1,1,29
3191,214,7,537,-15,591,213,247,170,1981,2,3,33
2691,193,24,390,-44,1082,209,251,163,865,2,3,3
2712,15,47,466,89,845,133,99,0,2206,2,3,13
3070,68,20,108,38,1034,236,197,84,1385,2,3,24
2782,311,16,108,31,2255,176,227,191,832,2,3,31
2650,333,6,268,25,1084,205,232,165,1458,2,1,12
3257,187,10,418,27,4470,222,248,159,934,2,1,29
2983,91,16,391,95,2343,243,214,97,1683,2,3,32
3090,55,24,234,46,4502,226,180,74,2823,1,1,29
2482,116,22,335,74,330,251,213,77,1167,3,3,2
3028,16,16,420,169,1289,204,204,133,3481,1,3,24
2633,66,17,421,63,797,234,205,97,2502,2,1,12
2804,130,8,218,27,968,234,236,133,849,3,3,2
3231,198,12,518,40,5978,217,250,166,3129,2,1,29
2762,245,15,0,0,1747,189,251,198,1140,5,3,23
3061,236,16,339,49,5729,191,252,196,1894,2,1,30
2972,76,13,242,86,5814,236,216,109,4585,2,1,29
2952,69,17,60,14,2018,236,204,94,2689,2,3,32
3501,94,19,931,295,2596,247,207,81,1080,1,1,40
2548,79,4,212,27,0,224,233,144,641,2,4,6
2705,124,14,67,8,2580,242,229,114,4801,2,1,12
2934,42,11,210,39,2058,222,216,128,2985,2,3,33
2867,61,15,268,30,421,231,207,105,1712,2,1,29
2958,4,4,0,0,5324,215,232,155,2389,2,1,23
2025,64,24,0,0,306,234,185,71,750,3,4,1
3023,82,24,170,39,1558,245,190,61,1371,1,3,33
3009,62,19,247,36,4745,232,196,89,1781,1,1,29
3007,36,28,67,5,5047,206,168,82,2867,1,1,29
3355,133,11,30,4,4375,238,235,125,4042,7,3,23
3235,270,16,240,29,319,176,244,206,782,1,2,24
2868,75,11,242,20,2831,234,218,115,2711,2,1,12
2691,44,15,525,-50,1266,222,207,116,1383,2,1,23
2835,104,24,120,30,2617,252,203,65,1132,2,3,10
2867,266,17,120,21,5220,175,245,208,577,2,1,29
2064,138,36,67,45,469,247,202,49,361,3,4,1
3120,334,15,644,104,2561,185,219,173,1440,1,3,33
2691,117,7,150,-4,592,233,233,132,1556,1,1,12
3286,38,17,636,185,3196,218,201,113,659,1,3,24
3023,142,8,283,54,5082,232,238,139,891,2,1,29
2367,194,25,0,0,552,208,250,163,1254,3,4,16
2855,198,21,300,23,1113,209,253,170,1809,2,3,4
3044,322,23,162,36,2761,157,211,191,2350,1,3,24
3249,354,11,474,101,847,201,220,157,2006,2,1,29
3247,174,21,618,56,6057,227,245,140,3064,2,1,29
3354,12,19,255,61,2010,196,197,133,2098,1,2,40
2847,342,19,60,7,5684,177,207,167,4616,2,1,24
3129,147,20,553,-19,5898,242,234,112,1412,1,1,29
3039,27,7,95,4,2030,217,224,143,1813,2,3,32
3160,153,8,255,2,1103,231,241,142,2338,1,1,23
2954,303,13,60,11,2555,185,234,189,721,2,3,21
3166,53,7,30,-2,1578,224,224,134,511,1,3,32
3275,78,18,395,147,1440,241,204,86,2225,2,3,33
3295,110,20,443,100,306,249,214,84,577,1,2,32
2295,22,21,212,70,962,202,191,119,1233,6,4,10
2955,23,5,576,53,1099,217,228,148,779,2,3,31
3232,83,8,42,0,2389,232,226,127,2750,1,1,38
2805,32,13,594,-7,3301,216,211,128,2658,1,3,10
2991,275,11,601,9,4463,189,243,193,4972,2,1,12
2876,134,14,120,0,2342,241,233,118,2444,2,3,26
2879,325,13,134,59,743,186,225,178,525,2,3,32
3158,1,14,182,18,4344,199,213,150,1719,1,1,23
3179,74,10,547,139,426,232,222,122,1570,2,1,23
3203,0,0,0,0,4901,218,238,156,162,1,1,38
2708,73,27,85,16,1552,239,176,50,1396,2,3,33
